FID;OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrasse;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
115105;115106;08;3;36;050;2016;07;11;2;2;5;3;0;0;1;1;0;0;0;0;399996,043500000030000;5274140,985500000400000;7,669295567000000;47,612954330000001
115107;115108;08;3;11;000;2016;07;20;7;2;0;1;0;0;1;0;0;0;0;0;414002,499200000020000;5315671,725200000200000;7,847395748000000;47,988562393000002
115108;115109;08;3;17;065;2016;07;15;1;3;0;7;0;0;1;0;0;0;0;0;412334,723999999990000;5353558,856499999800000;7,817239084000000;48,329131863000001
115110;115111;08;1;18;046;2016;07;14;3;3;6;4;0;0;0;1;1;0;0;0;516218,964500000000000;5412702,340499999900000;9,221156793000001;48,867070083000002
115112;115113;08;4;16;041;2016;07;16;2;3;5;3;0;0;1;1;0;0;0;0;504575,431999999970000;5375102,092400000400000;9,061972794000001;48,529010274999997
115114;115115;08;1;19;091;2016;07;08;2;3;0;1;0;0;1;0;0;0;0;1;526957,333300000060000;5406776,226800000300000;9,367189471000000;48,813386841000003
115115;115116;08;3;11;000;2016;07;13;2;3;1;5;0;0;1;1;0;0;0;0;411724,874900000000000;5316124,714200000300000;7,816782786000000;47,992326826000003
115116;115117;08;1;11;000;2016;07;09;6;3;6;4;0;0;0;0;1;0;0;1;512145,813000000020000;5403194,579500000000000;9,165335250000000;48,781632799000000
115117;115118;08;3;11;000;2016;07;18;7;3;5;3;0;0;1;0;0;0;0;0;412742,504499999980000;5315937,462100000100000;7,830457938000000;47,990782109000001
115118;115119;08;3;15;074;2016;07;17;1;3;1;5;0;0;1;1;0;0;0;0;397244,935600000030000;5295921,785699999900000;7,627563433000000;47,808443679000000
115119;115120;08;2;36;040;2016;07;19;6;3;4;6;0;0;1;1;0;0;0;0;488411,373000000020000;5422108,247999999700000;8,841713715999999;48,951786843000001
115120;115121;08;1;11;000;2016;06;18;5;2;5;3;0;0;1;1;0;0;0;0;513150,863900000000000;5406762,064700000000000;9,179130701000000;48,813705065999997
